연번,공원명,면적,개원일,주요시설,주요식물,지역,공원주소,주소,읍면동명,X좌표(GRS80TM),Y좌표(GRS80TM),X좌표(WGS84),Y좌표(WGS84)
90,서울창포원,51470㎡,2009.6.7,붓꽃원 약용식물원 수변식물원초화원. 방문자센터 등,수 목 : 낙우송 느티나무 스트로브잣나무 소나무 등 39종 2726주 관 목 : 갯버들 골담초 조팝나무 사철나무 화살나무 등 18종 57035주 초 화 : 달뿌리풀 맥문동 터리풀 구절초 물억새 .꽃나리등 46종 438512본 붓 꽃 : 꽃창포 노랑꽃창포 부채붓꽃 타래붓꽃 범부채 등 130종 218453본,도봉구,서울특별시 도봉구 마들로 916(서울창포원) ,도봉구 마들로 916,도봉제2동,204168.804,465548.074,127.047938,37.689585
91,북서울꿈의숲,662543㎡,2009.10.17,조경시설 : 청운답원 월영지 월광폭포 단풍숲 초화원 사슴동산 칠폭지 볼플라자 산책로 쉼터 데크 계류 옥상녹화 등 건축시설 : 방문자센터(서울디자인갤러리) 전망대 공연장(2) 미술관 창녕위궁재서 주차장(402대) 레스토랑(2) 카페(2) 기타시설 : 태양광발전시설 경사형엘리베이터(2) Open스튜디오 ,수 목 : 소나무 등 89종 207652주 초 화 : 국화 등 94종 202300본 잔 디 : 55664㎡,강북구,서울특별시 강북구 월계로 173,강북구 월계로 173,번제3동,203906.355,457859.796,127.0407344,37.6233355
92,서서울호수공원,217946㎡,2009.10.26,소리분수(노즐41개) 미디어벽천 실개천 건천(계류시설) 백인의 식탁 음수전 등 체육시설 : 축구장 (3010㎡)ㆍ농구장 1면(240㎡)ㆍ배드민턴장 4면(1050㎡) 철봉 등 12 종(53개) ,수 목 : 소나무 등 47종 1685주 관 목 : 눈주목 등 44종 13816주 초 화 : 원추리 수호초 맥문동 등 3종 5710본 잔디(23378㎡) : 금잔디 : 22961㎡ 및 양잔디(벤트크라스) 417㎡,양천구,서울특별시 양천구 남부순환로64길 20 (신월동),양천구 남부순환로 64길 20,신월제3동,185015.996,447561.645,126.8304789,37.5278392
93,중랑캠핑숲,179666㎥,2010.11.20 ,조경시설  수경시설 : 2900㎡(분수연못 1120 테라스연못 440 계류 720 건천 620) 잔디광장 : 5000㎡(청소년문화존/Wi-Fi) 산 책 로 : 1767㎡(산책로 797 등산로 970) 조경수목 : 82473주(교목 2411 관목 80062) 기타녹지 : 90480㎡(지피식물 6000 잔디 14480 녹지 70000 초화 164000본)       휴양시설  캠 핑 장 : 47면(37200㎡/관리사무소 1동 화장실 1동 식기세척장 1동 운동시설 등)       교양시설  청소년독서실 : 936㎡(2층) 청소년커뮤니티센터 : 390㎡(3층) 생태학습존 청소년문화존 일부 : 24400㎡   관리시설 관리사무소 : 576㎡(공원 196 캠핑장 380/ 스파 화장실 매점 등) 주 차 장 : 68면(청소년문화존 58 가족캠프존 10) 공 원 등 : 136주 (공원등 90 보안등 46) ,,중랑구,서울특별시 중랑구 송림길 160(중랑캠핑숲)/중랑구 망우동 74(청소년체험의숲),중랑구 송림길 160,망우본동,209617.529,456301.471,127.1093075,37.6049896
94,솔밭근린공원,34955㎡,2004.1.28,조경시설 : 실개울 벽천 분수 생태연못 그늘시렁 등 편의시설 : 화장실 음수대 등 관리시설 : 관리사무소 공원등 안내표지판 등 기반시설 : 놀이마당 배드민턴장 어린이놀이터 산책로 데크광장 ,수 목 : 소나무 진달래 초 화 : 감국 관중 금낭화 꽃무릇 꽃창포 비비추 원추리 노루오줌 둥글레 매미꽃 맥문동 바위취 벌개미취 범부채 복수초 붓꽃 비비추 패랭이 송악 옥잠화 은방울꽃 하늘매발톱 등 30종 ,강북구,서울특별시 강북구 우이동 80번지 일대,강북구 우이동 80,우이동,201038.122,461453.329,127.0116241,37.652331
95,금천체육공원(관악산),18083㎡,2001.6.1,야외무대 농구장 배드민턴장 그날막 조합놀이대 연못 장승 목재데크 황토길 지압로 분수,,금천구,서울특별시 금천구 독산동 산118-4(금천체육공원),금천구 독산동 산 118-4,독산제4동,191893.277,440957.771,126.908681,37.468164
96,금천폭포근린공원,4835㎡,2008.10.20,문화회관 2020㎡ 인공폭포(L30 x H12m) 공원시설 전망대 등,수 목 : 장송 왕벚나무 단풍나무 산수유 배롱나무 황매화 남천 등 초 화 : 비비추 벌개미취 노루오줌 맥문동 옥잠화 돌단풍 금낭화 등,금천구,서울특별시 금천구 시흥대로38길 61(시흥동 937-2),금천구 시흥대로 38,시흥제3동,191527.957,438576.169,126.9040127,37.4468663
97,만수천공원(관악산),19650 ㎡,2008.9.12,체육시설 : 생활체육시설 독산테니스장(8면) 배드민턴장(2개소) 다목적 광장 편익시설 : 정자(3동) 화장실(2개소) 만수천 약수터,수 목 : 산벚나무 산사나무 복자기 산딸나무 팥배나무 생강나무 등 초 화 : 비비추 벌개미취 노루오줌 쑥부쟁이 옥잠화 돌단풍. 맥문동 감국 등 ,금천구,서울특별시 금천구 독산동 산8 일대,금천구 독산동 8,독산제3동,192002.97,441678.841,126.9090028,37.4734274
98,발바닥공원,7000㎡,2002,기반시설 : 산책로 조경시설 : 관상용식수대 그늘시렁 연못 휴양시설 : 정자 운동시설 : 체력단련시설 편익시설 : 화장실 지압보도 관리시설 : 도봉환경교실,수 목 : 소나무 측백나무 조팝나무 덜꿩나무 감국 등 초 화 : 야생 초화류 31종 꽃창포 검정말 수련애기부들 비비추 돌단풍 등 습지식물 비비추 벌개미취 노루오줌 쑥부쟁이 옥잠화 돌단풍. 맥문동 감국 등 ,도봉구,서울특별시 도봉구 시루봉로6길 33,도봉구 시루봉로 6길 33,쌍문제4동,202607.063,462217.976,127.031982,37.6597135
99,월천근린공원,10712㎡,1988,기반시설 : 산책로 조경시설 : 관상용식수대 그늘시렁 연못 휴양시설 : 정자 장의자 운동시설 : 배드민턴장 체력단련시설 유희시설 : 그네 미끄럼틀 시솔 조합놀이대 등 편익시설 : 화장실 음수대 관리시설 : 공원등 안내판,수 목 : 메타세콰이어 측백나무 조팝나무 덜꿩나무 꽃창포 비비추 돌단풍 등,도봉구,서울특별시 도봉구 창동 28번지,도봉구 창동 28번지,창제4동,204487.705,204487.705,127.0509895,37.6473889
100,용두근린공원,17182㎡,2010.3.25,조경시설 : 연못 계류 분수 그늘시렁 편의시설 : 음수대 휴게소 야외전시장 야외전시벽 놀이터 관리시설 : 공원안내판 관리동 기반시설 : 도로 진입광장 휴게광장 ,수 목 : 소나무 상수리 졸참 신갈 팥배 생강 산벚 찔레 국수 병꽃 산초 진달래 초 화 : 구절초 맥문동 비비추 송악 수호초 원추리 등 수생식물 : 수련 어리연꽃 물옥잠 창포 애기부들 줄 ,동대문구,서울특별시 동대문구 용두동 34-1번지 일대,동대문구 용두동 34,용신동,203459.991,452629.847,127.0390042,37.5732791
101,상암근린공원,160349.3㎡,2006.1.1,조경시설 : 생태연못 생태습지 암석원 그늘시렁 정자 등 편의시설 : 화장실 연식의자 등 관리시설 : 종합안내판 공원등 관리사무소 모유수유실 유모차대여소 등 기반시설 : 운동기구(어깨손목돌리기 등 7종 10조) ,수 목 : 느티나무 서어나무 은행나무 중국단풍 청단풍 측백나무 쥐똥나무 조팝나무 등 초 화 : 수생식물(노랑어리연 수련 노랑꽃창포 생이가래 부래옥잠 등),마포구,서울특별시 마포구 상암동 1761,마포구 상암동 1761,상암동,189914.616,453044.909,126.8859012,37.5760106
102,와우근린공원,87432.4㎡,1940.3.12,배드민턴장 약수터 농구장 조깅트랙 체력단련장 지압보도 광장,,마포구,서울특별시 마포구 창전동 3-193번지 일대(홍익대 뒷산),마포구 창전동 3,서강동,193826.626,450327.299,126.9289936,37.5517298
